OBJECTID,GEOID,STATE,COUNTY,TRACT,LOWMOD,LOWMODUNIV,LOWMODPCT,UCLMOD,UCLMODU,UCLMODPCT,Shape__Area,Shape__Length
14410,48439106002,48,439,106002,1800.0,3360.0,53.57,,,,0.0013598376920072,0.148363955947011
14411,48439106004,48,439,106004,2520.0,4140.0,60.87,,,,0.0020709273151169,0.346003916408904
14412,48439106101,48,439,106101,1100.0,1545.0,71.2,,,,0.0003502080721773,0.0892966439061443
14413,48439106102,48,439,106102,2610.0,2985.0,87.44,,,,0.0002781474124731,0.0781109059450566
14428,48439111309,48,439,111309,1825.0,3670.0,49.73,,,,0.0004045497321385,0.0860230322530912
14429,48439111552,48,439,111552,1225.0,3385.0,36.19,,,,0.0002532983558012,0.0793820912910771
14431,48439105704,48,439,105704,4525.0,8660.0,52.25,,,,0.0003002741950695,0.0699818326252438
14432,48439105405,48,439,105405,1745.0,3620.0,48.2,,,,0.0007417650326715,0.125492640785459
14433,48439111011,48,439,111011,2425.0,8610.0,28.16,,,,0.0004622229587312,0.110440787707481
14444,48439114102,48,439,114102,1465.0,7545.0,19.42,,,,0.0028124289585775,0.227138078387142
14445,48439113815,48,439,113815,170.0,5125.0,3.32,,,,0.0005245103179731,0.114752184052792
14452,48439111551,48,439,111551,795.0,6915.0,11.5,,,,0.0003366015548635,0.0835542819793882
14468,48439105600,48,439,105600,2495.0,4830.0,51.66,,,,0.0002458524381836,0.0768962076136724
14469,48439105502,48,439,105502,2125.0,5380.0,39.5,,,,0.0003366419173289,0.0784374629686955
14470,48439102302,48,439,102302,3225.0,4795.0,67.26,,,,0.0003294602311143,0.100583579948027
14477,48439111312,48,439,111312,395.0,3350.0,11.79,,,,0.0010103112338129,0.15017590615394
14478,48439113001,48,439,113001,630.0,3515.0,17.92,,,,0.0010919913370344,0.168744016557563
14479,48439122801,48,439,122801,2960.0,3825.0,77.39,,,,8.73500962370599e-05,0.0593417244960645
14480,48439122802,48,439,122802,2415.0,4455.0,54.21,,,,0.0001711126114969,0.0636941721097777
14484,48439113917,48,439,113917,2055.0,6375.0,32.24,,,,0.0002319063530649,0.0692883543048525
14485,48439113912,48,439,113912,395.0,5915.0,6.68,,,,0.0008480337594392,0.143643062446334
14512,48439114104,48,439,114104,1305.0,5510.0,23.68,,,,0.0085984886979986,0.45557652683906
14518,48439113107,48,439,113107,380.0,2370.0,16.03,,,,0.0001609047492365,0.0654860429367585
14519,48439113108,48,439,113108,465.0,4375.0,10.63,,,,0.0005337781410617,0.122092033262562
14520,48439113110,48,439,113110,2820.0,4830.0,58.39,,,,0.0001749533194015,0.0527158196564802
