GEOID,median_home_value,median_home_value_owner,median_gross_rent_x,median_year_built,median_hh_income,monthly_owner_cost,median_gross_rent_y,avg_housing_cost,ht_cost_very_low_income,ht_cost_low_income,ht_cost_moderate_income,affordability_pctile_very_low,affordability_pctile_low,affordability_pctile_moderate,lmi_population,total_population,lmi_pct,hh_at_30pct_ami,hh_at_50pct_ami,hh_at_80pct_ami,cost_burdened_30pct_ami,cost_burdened_50pct_ami,cost_burdened_80pct_ami,affordable_units_30pct_ami,affordable_units_50pct_ami
48439113619,290200.0,306300.0,824.0,1976.0,32486.0,2130.0,809.0,939.5859599,48.41820029,109.6098096,58.89058193,79.83139128,5.874307545,43.04952245,2550.0,4585.0,55.62,225.0,630.0,1370.0,200.0,555.0,805.0,25.0,290.0
48439113622,487600.0,481600.0,1846.0,2011.0,162050.0,3060.0,1670.0,2996.141838,55.51150135,113.7120805,63.31236588,13.54721974,1.071543265,5.286663693,330.0,5720.0,5.77,65.0,190.0,415.0,55.0,180.0,380.0,0.0,0.0
48439113623,265800.0,270900.0,1746.0,1986.0,89563.0,1627.0,1964.0,1644.203497,54.6369664,107.1562263,61.21703354,26.14829837,3.290629371,9.99965035,715.0,3835.0,18.64,30.0,55.0,170.0,35.0,60.0,125.0,0.0,0.0
48439113624,242900.0,244600.0,1448.0,1983.0,88056.0,1495.0,1222.0,1460.42437,52.67127057,104.7116918,59.64344672,27.90964386,2.290516206,9.50270108,660.0,4050.0,16.3,80.0,110.0,250.0,80.0,109.0,189.0,0.0,0.0
48439113625,313900.0,351400.0,1258.0,1983.0,103490.0,1866.0,1174.0,1772.01194,53.50286012,109.5137029,61.32471735,26.85975124,1.791044776,12.02962687,490.0,3265.0,15.01,15.0,30.0,115.0,15.0,25.0,70.0,0.0,0.0
48439113626,258500.0,264100.0,1188.0,1982.0,81188.0,1532.0,1035.0,1443.295747,52.096912,105.9225483,59.58616531,38.18810137,1.531443299,13.93240979,515.0,4065.0,12.67,35.0,160.0,310.0,35.0,105.0,190.0,0.0,0.0
48439113627,,,,,46140.0,1451.0,848.0,1037.232811,48.13946036,104.789158,57.40842659,64.70469707,7.207896528,31.34111641,2215.0,5120.0,43.26,,,,,,,,
48439113628,270700.0,273000.0,974.0,1987.0,52973.0,1696.0,918.0,1083.110357,45.91172651,101.6318728,55.18516095,57.29292586,2.949405772,28.27657046,1875.0,4035.0,46.47,175.0,385.0,765.0,175.0,375.0,525.0,0.0,0.0
48439113629,219000.0,196300.0,1151.0,1986.0,67027.0,1676.0,994.0,1297.46161,49.5004202,102.0756926,57.14680973,47.2573543,2.670490287,23.19028677,1270.0,4005.0,31.71,165.0,400.0,760.0,130.0,345.0,560.0,35.0,65.0
48439113630,232100.0,249600.0,897.0,1982.0,52108.0,1380.0,800.0,1074.488372,47.77957938,100.8392156,56.0028415,62.37852713,4.88744186,22.50767442,1085.0,3930.0,27.61,235.0,400.0,725.0,160.0,305.0,395.0,45.0,85.0
